Distrito ,Lista,Partido,NombreCandidato
12,Partido Ecologista Verde,Partido Ecologista Verde,Monserrat Candia Rocha
12,Partido Ecologista Verde,Partido Ecologista Verde,Ronald Leblebici Garo
12,Partido Ecologista Verde,Partido Ecologista Verde,Rocio Miranda Castillo
12,Partido Ecologista Verde,Partido Ecologista Verde,Ronald Emilio Vargas Diaz
12,Partido Ecologista Verde,Partido Ecologista Verde,Carolina Leiva Garcia
12,Partido Ecologista Verde,Partido Ecologista Verde,Rene Orlando Valdes Lopez
12,Partido Ecologista Verde,Partido Ecologista Verde,Camila Bustamante Alvarez
12,Voces Constituyentes,Independientes,Alondra Carrillo Vidal
12,Voces Constituyentes,Independientes,Lucio Favio Cuenca Berger
12,Voces Constituyentes,Independientes,Valeria Isidora Ortega Contreras
12,Voces Constituyentes,Independientes,Eduardo Enrique Gutierrez Gonzalez
12,Voces Constituyentes,Independientes,Tania Alfaro Campusano
12,Voces Constituyentes,Independientes,Edgar Emilio Esperguel Garcia
12,Independientes por una Nueva Constitución,Independientes,Maria Soledad Cisternas Reyes
12,Independientes por una Nueva Constitución,Independientes,Benito Jose Baranda Ferran
12,Independientes por una Nueva Constitución,Independientes,PAOLA ROMERO LLANOS
12,Independientes por una Nueva Constitución,Independientes,JUAN JOSE MARTIN BRAVO
12,Independientes por una Nueva Constitución,Independientes,IONA RONIT ROTHFELD BASCOLI
12,Independientes por una Nueva Constitución,Independientes,PAVEL ALEJANDRO AYALA LIENQUEO 
12,Independientes por una Nueva Constitución,Independientes,CESAR ANTONIO BARCENAS CATALAN
12,Lista del Apruebo,Independientes,Paulina del Rosario Muñoz Ureta
12,Lista del Apruebo,Partido Demócrata Cristiano,Guillermo Larraín Ríos
12,Lista del Apruebo,Partido por la Democracia,Pía Castelli Fenick
12,Lista del Apruebo,Partido Radical de Chile,Christian Alejandro Muñoz Paredes
12,Lista del Apruebo,Partido Socialista de Chile,Romina Morales Baltra
12,Lista del Apruebo,Ciudadanos,Rodrigo Alfonso Rettig Vargas
12,Lista del Apruebo,Independientes,Carola Pía Naranjo Inostroza
12,Vamos por Chile,Renovación Nacional,Bernardita Paul Ossandon
12,Vamos por Chile,Independientes,Manuel José Ossandon Lira
12,Vamos por Chile,Independientes,Carol Espinaza Aschieri
12,Vamos por Chile,Unión Demócrata Independiente,Marcelo Amado Honorato Alonso Heredia
12,Vamos por Chile,Independientes,María Luisa Cordero Velásquez
12,Vamos por Chile,Evolución Política,Shai Agosin Weisz
12,Vamos por Chile,Independientes,Macarena Venegas Tassara
12,Apruebo Dignidad,Independientes,Beatriz de Jesús Sánchez Muñoz
12,Apruebo Dignidad,Revolución Democrática,Leonardo Patricio Parraguez Gallardo
12,Apruebo Dignidad,Comunista de Chile,BARBARA CATHERINE FIGUEROA SANDOVAL
12,Apruebo Dignidad,Independientes,BASTIAN LORENZO BODENHOFER ALEXANDER
12,Apruebo Dignidad,Independientes,PAOLA MARIA VILLEGAS DELGADO
12,Apruebo Dignidad,Independientes,CESAR ANTONIO PIZARRO PIZARRO
12,Apruebo Dignidad,Independientes,MARCELA ALEJANDRA MELLA ORTIZ
12,Partido Unión Patriótica,Partido Unión Patriótica,Rossana Patricia Jorquera Giraldi
12,Partido Unión Patriótica,Partido Unión Patriótica,MATIA IGNACIO NAVARRETE MOLINA
12,Partido Unión Patriótica,Partido Unión Patriótica,PAULA IGNACIA CEA FUENTES
12,Partido Unión Patriótica,Partido Unión Patriótica,SERGIO NICOLAS ALEJANDRO ARAVENA PEREZ
12,Partido Unión Patriótica,Partido Unión Patriótica,MONICA GLORIA REYES RIFFO
12,Partido Unión Patriótica,Partido Unión Patriótica,IGNACIO ROBERTO COFRE REYES
12,La Lista del Pueblo Distrito 12,Independientes,Giovanna Jazmín Grandon Caro
12,La Lista del Pueblo Distrito 13,Independientes,Camila Vanessa Cartes Cordero
12,La Lista del Pueblo Distrito 14,Independientes,ALEX EDUARDO FLORES ESPINOZA
12,La Lista del Pueblo Distrito 15,Independientes,TAMARA GRISELDA AVELLO VASQUEZ
12,La Lista del Pueblo Distrito 16,Independientes,DIEGO ALFONSO INFANTE SCHKOLNIK
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,Joseffe Tamara Cáceres Torres
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,Rainier Enrique Ríos Puebla
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,CAMILA CRISTINA MEZA HERRERA
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,VICTOR ALEJANDRO IBAÑEZ DE LA HOZ
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,ANITA PAZ JARAMILLO GALLARDO
12,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,JULIO ENRIQUE HERNANDEZ PRADO
12,Candidatura Independiente,Candidatura Independiente,Maura Fajardo Gákvez
12,Candidatura Independiente,Candidatura Independiente,Gabriel Molina Villanueva
10,Partido Ecologista Verde,Partido Ecologista Verde,MARIA ELENA GUAJARDO MORAGA
10,Partido Ecologista Verde,Partido Ecologista Verde,GREGORIO MANUEL AUGUSTO CORREA SALINAS
10,Partido Ecologista Verde,Partido Ecologista Verde,ANGELICA YEVENES ARANDA
10,Partido Ecologista Verde,Partido Ecologista Verde,PHELIPPE ROMERO MUZZ
10,Partido Ecologista Verde,Partido Ecologista Verde,CLAUDIO ROSELLO ARRIARAN
10,Partido Ecologista Verde,Partido Ecologista Verde,CONSUELO CONEJAN BRITO
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,KARINA NATASHA NOHALES PEÑA
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,LUIS FERNANDO MESINA MARIN
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,ANDREA GUTIERREZ VASQUEZ
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,MANUEL JESUS HIDALGO VALDIVIA
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,PABLO SALVADOR LUIS SEPULVEDA ALLENDE
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,FRANCISCA FERNANDEZ DROGUETT
10,MOVIMIENTO SOCIAL UNIDAD DE INDEPENDIENTES,Independientes,JAVIER NICOLAS PINEDA OLCAY
10,Independientes por la Nueva Constitución,Independientes,PATRICIA POLITZER KEREKES
10,Independientes por la Nueva Constitución,Independientes,JOSE ANDRES MURILLO URRUTIA
10,Independientes por la Nueva Constitución,Independientes,ROXANA ESPINOZA SALFATE
10,Independientes por la Nueva Constitución,Independientes,GABRIEL GUROVICH STEINER
10,Independientes por la Nueva Constitución,Independientes,MACARENA LOBOS PALACIOS
10,Independientes por la Nueva Constitución,Independientes,PABLO MORRIS KELLER
10,Independientes por la Nueva Constitución,Independientes,CAROLINA ARENAS ORTIZ
10,Independientes por la Nueva Constitución,Independientes,ANDRES PEREZ MUÑOZ
10,Lista del Apruebo,Partido Demócrata Cristiano,LAURA ALBORNOZ POLLMANN
10,Lista del Apruebo,Independientes,JORGE BARADIT MORALES
10,Lista del Apruebo,Partido Socialista de Chile,CATALINA LAGOS TSCHORNE
10,Lista del Apruebo,Independientes,DARWIN LORETO JOHNS
10,Lista del Apruebo,Independientes,LUCIA LOPEZ GUERRA
10,Lista del Apruebo,Independientes,JAIME PARADA HOYL
10,Lista del Apruebo,Independientes,CAROLINA VANESSA PARRAGUEZ PIÑA
10,Lista del Apruebo,Partido Demócrata Cristiano,PATRICIO ZAPATA LARRAIN
10,Vamos por Chile,Independientes,SYLVIA EYZAGUIRRE TAFRA
10,Vamos por Chile,Renovación Nacional,CRISTIAN MONCKEBERG BRUNER
10,Vamos por Chile,Independientes,TERESA MARGARITA MARINOVIC VIAL
10,Vamos por Chile,Unión Demócrata Independiente,DIEGO JOSE RIVEAUX MARCET
10,Vamos por Chile,Unión Demócrata Independiente,JAIME ANDRES FLORES SIERRALTA
10,Vamos por Chile,Independientes,MARIA MACARENA LETELIER VELASCO
10,Vamos por Chile,Evolución Política,PAULINA ANDREA LOBOS HERRERA
10,Vamos por Chile,Evolución Política,GONZALO FERNANDO BLUMEL MAC-IVER
10,Apruebo Dignidad,Independientes,"FERNANDO ATRIA LEMAITRE"
10,Apruebo Dignidad,Revolución Democrática,GIOVANNA ANGELA ROA CADIN
10,Apruebo Dignidad,Comunista de Chile,"ALEJANDRA DEL PILAR JIMENEZ CASTRO"
10,Apruebo Dignidad,Convergencia social,PABLO GABRIEL SELLES FERRES
10,Apruebo Dignidad,Convergencia social,ANTONIA COSMICA ORELLANA GUARELLO
10,Apruebo Dignidad,Independientes,RAFAEL HUMBERTO HARVEY VALDES
10,Apruebo Dignidad,Comunes,EMILIA SCHNEIDER VIDELA
10,Apruebo Dignidad,Independientes,CARLOS EDUARDO RUIZ ENCINA
10,Independientes Como Tú,Independientes,KARLA ANDREA PINTO TIMMERMANN
10,Independientes Como Tú,Independientes,SUNG YOUNG YUN
10,Independientes Como Tú,Independientes,PATRICIA FARIDEZ RUBILAR SEVERO
10,Independientes Como Tú,Independientes,PATRICIO DOMINGO GONZALEZ OJEDA
10,Independientes Como Tú,Independientes,MARIA SOLEDAD ACUf:JA DIAZ
10,Independientes Como Tú,Independientes,FELIPE CRISTHIAN VARGAS PUGA
10,Independientes Como Tú,Independientes,PAOLA ANDREA WALKER RODRIGUEZ
10,Partido Unión Patriótica,Partido Unión Patriótica,SOFIA ANNEKE LARA GARRIDO
10,Partido Unión Patriótica,Partido Unión Patriótica,JUAN PABLO MIGUEL SOTO VALDIVIA
10,Partido Unión Patriótica,Partido Unión Patriótica,VALENTINA VARGAS LOWICK-RUSSELL
10,Partido Unión Patriótica,Partido Unión Patriótica,HECTOR LEONARDO ARAVENA PEREZ
10,Partido Unión Patriótica,Partido Unión Patriótica,NICOLL ADRIANA ROJAS LABRA
10,Partido Unión Patriótica,Partido Unión Patriótica,JOSUE ALBERT ORMAZABAL MORALES
10,Partido Unión Patriótica,Partido Unión Patriótica,CARMEN VERONICA CONTRERAS AROS
10,Partido Unión Patriótica,Partido Unión Patriótica,JOSE ALBARO MORALES MORALES
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,SUELY CILEIDI ARANCIBIA BENICIO
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,DAUNO TOTORO NAVARRO
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,CAROLINA FERNANDA TOLEDO SARMIENTO
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,JOSE JOAQUIN ROMERO PALACIOS
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,RAFAELLA ANTONIA RUILOVA TASSARA
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,JULIO HUMBERTO MANCILLA MARABOLI
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,MARIA VICTORIA TORRES SANDOVAL
10,Partido Trabajadores Revolucionarios,Partido Trabajadores Revolucionarios,JAVIER IGNACIO AYARZA GONZALEZ
10,Candidatura Independiente,Candidatura Independiente,CAMILO PARADA ORTIZ